iter	RMSE
0	4212.000851
1	3930.327002
2	3684.302235
3	3467.196415
4	3275.173387
5	3103.328696
6	2952.784821
7	2820.824912
8	2700.504218
9	2596.755302
10	2506.34829
11	2429.329568
12	2357.978857
13	2296.978072
14	2243.926708
15	2195.994343
16	2155.057805
17	2118.864837
18	2085.927575
19	2057.929861
20	2028.272206
21	2004.906514
22	1980.590794
23	1963.199446
24	1945.692865
25	1929.961501
26	1912.932383
27	1900.690929
28	1887.487068
29	1872.864966
30	1862.992035
31	1855.352448
32	1846.524742
33	1835.040333
34	1827.143773
35	1820.00181
36	1813.011772
37	1803.867564
38	1797.751253
39	1790.209111
40	1785.002184
41	1778.587262
42	1774.548317
43	1768.712
44	1764.79719
45	1760.410027
46	1756.158653
47	1752.703532
48	1749.069915
49	1744.777952
50	1742.093769
51	1738.514054
52	1735.625171
53	1733.246889
54	1729.599871
55	1726.779873
56	1723.191862
57	1720.750701
58	1718.236593
59	1715.29532
60	1712.765477
61	1709.927764
62	1706.976685
63	1703.911416
64	1701.561334
65	1699.2456
66	1697.007332
67	1694.654459
68	1692.921084
69	1690.252363
70	1687.785682
71	1686.461094
72	1684.463221
73	1682.362425
74	1679.867509
75	1677.161873
76	1674.629919
77	1673.596821
78	1671.620681
79	1670.251147
80	1668.399792
81	1665.231665
82	1663.506054
83	1662.342585
84	1660.30258
85	1658.117664
86	1655.90862
87	1654.059857
88	1652.778291
89	1650.3521
90	1648.921292
91	1647.591142
92	1646.055905
93	1644.301459
94	1642.888356
95	1641.193975
96	1639.901299
97	1638.121969
98	1636.374529
99	1634.922318
100	1634.005072
101	1633.2167
102	1632.073726
103	1630.598982
104	1629.090271
105	1627.824972
106	1626.960064
107	1625.319531
108	1624.507866
109	1623.422293
110	1622.354138
111	1621.491401
112	1620.266813
113	1619.093751
114	1617.511006
115	1616.290413
116	1614.937499
117	1613.490435
118	1612.584766
119	1611.756346
120	1610.549604
121	1609.149811
122	1607.543161
123	1606.430409
124	1605.474947
125	1604.086821
126	1603.363043
127	1602.339893
128	1601.205379
129	1600.280543
130	1599.198623
131	1598.060675
132	1597.405749
133	1595.920066
134	1594.869414
135	1594.150823
136	1592.946313
137	1592.065372
138	1591.132397
139	1589.61613
140	1589.057275
141	1587.906999
142	1586.970309
143	1586.338893
144	1585.732341
