iter	Passed	Remaining
0	44	44863
1	90	45167
2	136	45356
3	179	44649
4	221	44170
5	266	44162
6	310	44065
7	360	44697
8	404	44569
9	449	44474
10	491	44154
11	533	43919
12	580	44098
13	623	43885
14	665	43729
15	709	43636
16	754	43653
17	797	43497
18	841	43422
19	885	43366
20	928	43284
21	970	43123
22	1014	43100
23	1057	42986
24	1101	42949
25	1146	42946
26	1188	42838
27	1230	42715
28	1273	42644
29	1316	42564
30	1360	42520
31	1405	42501
32	1462	42847
33	1506	42795
34	1550	42735
35	1594	42693
36	1639	42672
37	1684	42635
38	1729	42611
39	1776	42628
40	1819	42563
41	1865	42558
42	1914	42598
43	1959	42577
44	2007	42595
45	2056	42645
46	2101	42601
47	2144	42536
48	2187	42459
49	2229	42363
50	2272	42285
51	2316	42230
52	2360	42180
53	2403	42100
54	2446	42028
55	2489	41963
56	2533	41915
57	2580	41909
58	2624	41863
59	2669	41825
60	2714	41786
61	2759	41742
62	2802	41675
63	2844	41601
64	2889	41570
65	2936	41558
66	2981	41514
67	3025	41469
68	3067	41395
69	3113	41364
70	3156	41302
71	3199	41243
72	3244	41196
73	3288	41147
74	3333	41107
75	3377	41058
76	3420	40999
77	3464	40956
78	3509	40919
79	3555	40884
80	3598	40827
81	3641	40767
82	3683	40698
83	3727	40650
84	3772	40604
85	3817	40568
86	3857	40484
87	3902	40447
88	3947	40409
89	3991	40359
90	4035	40310
91	4077	40244
92	4121	40199
93	4168	40177
94	4212	40131
95	4254	40067
96	4297	40008
97	4342	39964
98	4385	39911
99	4429	39861
100	4475	39836
101	4521	39806
102	4567	39774
103	4611	39730
104	4655	39683
105	4696	39613
106	4749	39640
107	4792	39582
108	4840	39570
109	4881	39492
110	4928	39470
111	4973	39435
112	5015	39372
113	5060	39327
114	5102	39266
115	5146	39219
116	5189	39166
117	5231	39101
118	5273	39044
119	5315	38977
120	5360	38937
121	5402	38882
122	5448	38850
123	5492	38801
124	5534	38742
125	5578	38691
126	5619	38631
127	5669	38620
128	5712	38571
129	5756	38526
130	5798	38464
131	5841	38411
132	5883	38352
133	5928	38311
134	5972	38265
135	6016	38224
136	6061	38185
137	6102	38119
138	6147	38076
139	6189	38021
140	6231	37963
141	6275	37919
142	6320	37877
143	6361	37815
144	6403	37756
145	6446	37706
146	6488	37649
147	6530	37593
148	6574	37550
149	6616	37492
150	6660	37449
151	6704	37402
152	6748	37356
153	6791	37308
154	6837	37273
155	6879	37219
156	6923	37177
157	6968	37135
158	7011	37085
159	7053	37031
160	7095	36977
161	7140	36935
162	7185	36898
163	7231	36864
164	7284	36862
165	7334	36851
166	7385	36841
167	7432	36807
168	7477	36767
169	7519	36714
170	7563	36665
171	7606	36615
172	7648	36561
173	7706	36584
174	7758	36576
175	7814	36587
176	7866	36575
177	7916	36558
178	7963	36525
179	8010	36490
180	8058	36462
181	8105	36432
182	8149	36381
183	8197	36352
184	8250	36347
185	8300	36324
186	8346	36285
187	8389	36236
188	8434	36192
189	8477	36142
190	8520	36090
191	8571	36071
